0.0600258,1.07559
0.175642,1.06251
0.291301,1.04094
0.401757,1.00933
0.520028,0.990372
0.635547,0.997133
0.751115,0.993868
0.866687,0.989730
0.974282,1.00565
1.09263,0.972081
1.19762,0.982548
1.32367,0.983206
1.43658,0.986915
1.54958,0.972096
1.66501,0.996950
1.77532,0.994992
1.89366,0.962517
2.00653,0.974074
2.11944,0.976039
2.22969,0.987378
2.35043,1.00024
2.46063,1.02030
2.57098,1.01006
2.68663,0.989574
2.80217,0.992193
2.91511,0.990235
3.03067,0.988496
3.14870,1.01706
3.26426,1.01532
3.37466,0.996355
3.48749,1.01402
3.60561,1.02710
3.71581,1.04759
3.83125,1.06874
3.94412,1.08052
4.05968,1.07834
4.16980,1.11496
4.28799,1.11257
4.39575,1.09644
4.51376,1.12980
4.63210,1.09667
4.74497,1.10757
4.85800,1.08752
4.97623,1.07706
5.08672,1.03783
5.19961,1.04503
5.31003,1.02062
5.42570,0.997514
5.54355,1.06379
5.65397,1.03872
5.77241,0.985973
5.89044,1.01540
6.00081,1.00102
6.11352,1.04615
6.23174,1.03591
6.34208,1.02915
6.46033,1.01346
6.57317,1.03047
6.68900,0.975541
6.79918,0.998433
7.43209,0.999763
